ubicageo_f,enfrentt,enfren1,enfren2,enfren3
1001,NA,NA,NA,NA
1002,NA,NA,NA,NA
1003,1,1,0,0
1004,NA,NA,NA,NA
1005,NA,NA,NA,NA
1006,NA,NA,NA,NA
1007,NA,NA,NA,NA
1008,NA,NA,NA,NA
1009,NA,NA,NA,NA
1010,NA,NA,NA,NA
1011,NA,NA,NA,NA
2001,NA,NA,NA,NA
2002,15,15,0,0
2003,1,1,0,0
2004,22,22,0,0
2005,1,1,0,0
2006,NA,NA,NA,NA
2007,1,1,0,0
3001,NA,NA,NA,NA
3002,NA,NA,NA,NA
3003,NA,NA,NA,NA
3008,NA,NA,NA,NA
3009,NA,NA,NA,NA
4001,NA,NA,NA,NA
4002,NA,NA,NA,NA
4003,2,2,0,0
4004,NA,NA,NA,NA
4005,NA,NA,NA,NA
4006,NSS,NSS,NSS,NSS
4007,NA,NA,NA,NA
4008,NA,NA,NA,NA
4009,NA,NA,NA,NA
4010,NA,NA,NA,NA
4011,NA,NA,NA,NA
4012,NA,NA,NA,NA
4013,NA,NA,NA,NA
5001,NA,NA,NA,NA
5002,NA,NA,NA,NA
5003,NA,NA,NA,NA
5004,NA,NA,NA,NA
5005,NA,NA,NA,NA
5006,NA,NA,NA,NA
5007,NA,NA,NA,NA
5008,NA,NA,NA,NA
5009,NA,NA,NA,NA
5010,NA,NA,NA,NA
5011,NA,NA,NA,NA
5012,NA,NA,NA,NA
5013,NA,NA,NA,NA
5014,NA,NA,NA,NA
5015,NA,NA,NA,NA
5016,NA,NA,NA,NA
5017,NA,NA,NA,NA
5018,NA,NA,NA,NA
5019,NA,NA,NA,NA
5020,NA,NA,NA,NA
5021,NA,NA,NA,NA
5022,NA,NA,NA,NA
5023,NA,NA,NA,NA
5024,NA,NA,NA,NA
5025,NA,NA,NA,NA
5026,NA,NA,NA,NA
5027,NA,NA,NA,NA
5028,NA,NA,NA,NA
5029,NA,NA,NA,NA
5030,NA,NA,NA,NA
5031,1,0,1,0
5032,NA,NA,NA,NA
5033,NA,NA,NA,NA
5034,NA,NA,NA,NA
5035,NA,NA,NA,NA
5036,NA,NA,NA,NA
5037,1,1,0,0
5038,NA,NA,NA,NA
6001,1,1,0,0
6002,NA,NA,NA,NA
6003,NA,NA,NA,NA
6004,NA,NA,NA,NA
6005,NA,NA,NA,NA
6006,NA,NA,NA,NA
6007,NA,NA,NA,NA
6008,NA,NA,NA,NA
6009,1,1,0,0
6010,NA,NA,NA,NA
7001,NA,NA,NA,NA
7002,NA,NA,NA,NA
7003,NA,NA,NA,NA
7004,NA,NA,NA,NA
7005,NA,NA,NA,NA
7006,NA,NA,NA,NA
7007,NA,NA,NA,NA
7008,NA,NA,NA,NA
7009,NA,NA,NA,NA
7010,NA,NA,NA,NA
7011,NA,NA,NA,NA
7012,NA,NA,NA,NA
7013,NA,NA,NA,NA
7014,NA,NA,NA,NA
7015,NA,NA,NA,NA
7016,NA,NA,NA,NA
7017,NA,NA,NA,NA
7018,NA,NA,NA,NA
7019,NA,NA,NA,NA
7020,NA,NA,NA,NA
7021,NA,NA,NA,NA
7022,NA,NA,NA,NA
7023,NA,NA,NA,NA
7024,NA,NA,NA,NA
7025,NA,NA,NA,NA
7026,NA,NA,NA,NA
7027,NA,NA,NA,NA
7028,NA,NA,NA,NA
7029,NA,NA,NA,NA
7030,NA,NA,NA,NA
7031,NA,NA,NA,NA
7032,NA,NA,NA,NA
7033,NA,NA,NA,NA
7034,NA,NA,NA,NA
7035,NA,NA,NA,NA
7036,NA,NA,NA,NA
7037,NA,NA,NA,NA
7038,NA,NA,NA,NA
7039,NA,NA,NA,NA
7040,NA,NA,NA,NA
7041,NA,NA,NA,NA
7042,NA,NA,NA,NA
7043,NA,NA,NA,NA
7044,NA,NA,NA,NA
7045,NA,NA,NA,NA
7046,2,0,0,2
7047,NA,NA,NA,NA
7048,NA,NA,NA,NA
7049,NA,NA,NA,NA
7050,NA,NA,NA,NA
7051,NA,NA,NA,NA
7052,NA,NA,NA,NA
7053,NA,NA,NA,NA
7054,NA,NA,NA,NA
7055,NA,NA,NA,NA
7056,NA,NA,NA,NA
7057,NA,NA,NA,NA
7058,NA,NA,NA,NA
7059,NA,NA,NA,NA
7060,NA,NA,NA,NA
7061,NA,NA,NA,NA
7062,NA,NA,NA,NA
7063,NA,NA,NA,NA
7064,3,0,3,0
7065,NA,NA,NA,NA
7066,NA,NA,NA,NA
7067,NA,NA,NA,NA
7068,NA,NA,NA,NA
7069,NA,NA,NA,NA
7070,NA,NA,NA,NA
7071,NA,NA,NA,NA
7072,NA,NA,NA,NA
7073,NSS,NSS,NSS,NSS
7074,NA,NA,NA,NA
7075,NA,NA,NA,NA
7076,NA,NA,NA,NA
7077,NA,NA,NA,NA
7078,NA,NA,NA,NA
7079,NA,NA,NA,NA
7080,NA,NA,NA,NA
7081,NA,NA,NA,NA
7082,NA,NA,NA,NA
7083,NA,NA,NA,NA
7084,NA,NA,NA,NA
7085,NA,NA,NA,NA
7086,NA,NA,NA,NA
7087,NA,NA,NA,NA
7088,NA,NA,NA,NA
7089,NA,NA,NA,NA
7090,NA,NA,NA,NA
7091,NA,NA,NA,NA
7092,NA,NA,NA,NA
7093,NA,NA,NA,NA
7094,NA,NA,NA,NA
7096,NA,NA,NA,NA
7097,NA,NA,NA,NA
7098,NA,NA,NA,NA
7099,NA,NA,NA,NA
7100,NA,NA,NA,NA
7101,NA,NA,NA,NA
7102,NA,NA,NA,NA
7103,NA,NA,NA,NA
7104,NA,NA,NA,NA
7105,NA,NA,NA,NA
7106,NA,NA,NA,NA
7107,NA,NA,NA,NA
7108,NA,NA,NA,NA
7109,NA,NA,NA,NA
7110,NA,NA,NA,NA
7111,NA,NA,NA,NA
7112,NA,NA,NA,NA
7113,NA,NA,NA,NA
7114,NA,NA,NA,NA
7115,NA,NA,NA,NA
7116,NA,NA,NA,NA
7117,NA,NA,NA,NA
7118,NA,NA,NA,NA
7119,NA,NA,NA,NA
7120,NA,NA,NA,NA
7121,NA,NA,NA,NA
7122,NA,NA,NA,NA
7123,NA,NA,NA,NA
7124,NA,NA,NA,NA
7125,NA,NA,NA,NA
8001,NA,NA,NA,NA
8002,NA,NA,NA,NA
8003,NA,NA,NA,NA
8004,NA,NA,NA,NA
8005,NA,NA,NA,NA
8006,NA,NA,NA,NA
8007,NA,NA,NA,NA
8008,NA,NA,NA,NA
8009,NA,NA,NA,NA
8010,NA,NA,NA,NA
8011,NA,NA,NA,NA
8012,NA,NA,NA,NA
8013,NA,NA,NA,NA
8014,NA,NA,NA,NA
8015,NA,NA,NA,NA
8016,NA,NA,NA,NA
8017,NA,NA,NA,NA
8018,NA,NA,NA,NA
8019,NA,NA,NA,NA
8020,NA,NA,NA,NA
8021,NA,NA,NA,NA
8022,NA,NA,NA,NA
8023,NA,NA,NA,NA
8024,NA,NA,NA,NA
8025,NA,NA,NA,NA
8026,NA,NA,NA,NA
8027,NA,NA,NA,NA
8028,NA,NA,NA,NA
8029,NA,NA,NA,NA
8030,NA,NA,NA,NA
8031,NA,NA,NA,NA
8032,NA,NA,NA,NA
8033,NA,NA,NA,NA
8034,NA,NA,NA,NA
8035,NA,NA,NA,NA
8036,NA,NA,NA,NA
8037,7,7,0,0
8038,NA,NA,NA,NA
8039,NA,NA,NA,NA
8040,NA,NA,NA,NA
8041,1,1,0,0
8042,NA,NA,NA,NA
8043,NA,NA,NA,NA
8044,NA,NA,NA,NA
8045,NA,NA,NA,NA
8046,NA,NA,NA,NA
8047,NA,NA,NA,NA
8048,NA,NA,NA,NA
8049,NA,NA,NA,NA
8050,NA,NA,NA,NA
8051,NA,NA,NA,NA
8052,1,1,0,0
8053,NA,NA,NA,NA
8054,NA,NA,NA,NA
8055,NA,NA,NA,NA
8056,NA,NA,NA,NA
8057,NA,NA,NA,NA
8058,NA,NA,NA,NA
8059,NA,NA,NA,NA
8060,NA,NA,NA,NA
8061,NA,NA,NA,NA
8062,NA,NA,NA,NA
8063,NA,NA,NA,NA
8064,NA,NA,NA,NA
8065,NA,NA,NA,NA
8066,NA,NA,NA,NA
8067,NA,NA,NA,NA
9002,NA,NA,NA,NA
9003,NA,NA,NA,NA
9004,NA,NA,NA,NA
9005,NA,NA,NA,NA
9006,NA,NA,NA,NA
9007,NA,NA,NA,NA
9008,NA,NA,NA,NA
9009,NA,NA,NA,NA
9010,NA,NA,NA,NA
9011,NA,NA,NA,NA
9012,NA,NA,NA,NA
9013,NA,NA,NA,NA
9014,NA,NA,NA,NA
9015,NA,NA,NA,NA
9016,NA,NA,NA,NA
9017,NA,NA,NA,NA
10001,NA,NA,NA,NA
10002,NA,NA,NA,NA
10003,NA,NA,NA,NA
10004,NA,NA,NA,NA
10005,NA,NA,NA,NA
10006,NA,NA,NA,NA
10007,NA,NA,NA,NA
10008,NA,NA,NA,NA
10009,NA,NA,NA,NA
10010,NA,NA,NA,NA
10011,NA,NA,NA,NA
10012,NA,NA,NA,NA
10013,NA,NA,NA,NA
10014,NA,NA,NA,NA
10015,NA,NA,NA,NA
10016,NA,NA,NA,NA
10017,NA,NA,NA,NA
10018,NA,NA,NA,NA
10019,NA,NA,NA,NA
10020,NA,NA,NA,NA
10021,NA,NA,NA,NA
10022,NA,NA,NA,NA
10023,NA,NA,NA,NA
10024,NA,NA,NA,NA
10025,NA,NA,NA,NA
10026,NA,NA,NA,NA
10027,NA,NA,NA,NA
10028,NA,NA,NA,NA
10029,NA,NA,NA,NA
10030,NA,NA,NA,NA
10031,NA,NA,NA,NA
10032,NA,NA,NA,NA
10033,NA,NA,NA,NA
10034,NA,NA,NA,NA
10035,NA,NA,NA,NA
10036,NA,NA,NA,NA
10037,NA,NA,NA,NA
10038,NA,NA,NA,NA
10039,NA,NA,NA,NA
11001,NA,NA,NA,NA
11002,NA,NA,NA,NA
11003,NA,NA,NA,NA
11004,4,4,0,0
11005,NA,NA,NA,NA
11006,NA,NA,NA,NA
11007,8,8,0,0
11008,NSS,NSS,NSS,NSS
11009,NA,NA,NA,NA
11010,NSS,NSS,NSS,NSS
11011,NA,NA,NA,NA
11012,1,1,0,0
11013,NA,NA,NA,NA
11014,NA,NA,NA,NA
11015,NSS,NSS,NSS,NSS
11016,NA,NA,NA,NA
11017,1,1,0,0
11018,1,1,0,0
11019,NSS,NSS,NSS,NSS
11020,NSS,NSS,NSS,NSS
11021,2,1,1,0
11022,NA,NA,NA,NA
11023,4,4,0,0
11024,NA,NA,NA,NA
11025,NSS,NSS,NSS,NSS
11026,NSS,NSS,NSS,NSS
11027,4,4,0,0
11028,NA,NA,NA,NA
11029,NA,NA,NA,NA
11030,NA,NA,NA,NA
11031,NA,NA,NA,NA
11032,NA,NA,NA,NA
11033,1,1,0,0
11034,NA,NA,NA,NA
11035,NSS,NSS,NSS,NSS
11036,NA,NA,NA,NA
11037,NA,NA,NA,NA
11038,NA,NA,NA,NA
11039,1,1,0,0
11040,NA,NA,NA,NA
11041,NA,NA,NA,NA
11042,1,1,0,0
11043,NA,NA,NA,NA
11044,NA,NA,NA,NA
11045,NSS,NSS,NSS,NSS
11046,1,1,0,0
12001,NA,NA,NA,NA
12002,NA,NA,NA,NA
12003,NA,NA,NA,NA
12004,NA,NA,NA,NA
12005,NA,NA,NA,NA
12006,NA,NA,NA,NA
12007,NA,NA,NA,NA
12008,3,3,0,0
12009,NA,NA,NA,NA
12010,NA,NA,NA,NA
12011,NA,NA,NA,NA
12012,NA,NA,NA,NA
12013,NA,NA,NA,NA
12014,NA,NA,NA,NA
12015,NA,NA,NA,NA
12016,NA,NA,NA,NA
12017,NA,NA,NA,NA
12018,NA,NA,NA,NA
12019,NA,NA,NA,NA
12020,NA,NA,NA,NA
12021,NSS,NSS,NSS,NSS
12022,NA,NA,NA,NA
12023,NA,NA,NA,NA
12024,NA,NA,NA,NA
12025,NA,NA,NA,NA
12026,NA,NA,NA,NA
12027,NA,NA,NA,NA
12028,NA,NA,NA,NA
12029,NA,NA,NA,NA
12030,NA,NA,NA,NA
12031,NA,NA,NA,NA
12032,NA,NA,NA,NA
12033,NA,NA,NA,NA
12034,NA,NA,NA,NA
12035,NA,NA,NA,NA
12036,NA,NA,NA,NA
12037,NA,NA,NA,NA
12038,NA,NA,NA,NA
12039,1,1,0,0
12040,NA,NA,NA,NA
12041,NA,NA,NA,NA
12042,NA,NA,NA,NA
12043,NA,NA,NA,NA
12044,NA,NA,NA,NA
12045,NA,NA,NA,NA
12046,NA,NA,NA,NA
12047,NA,NA,NA,NA
12048,NA,NA,NA,NA
12049,NA,NA,NA,NA
12050,NA,NA,NA,NA
12051,NA,NA,NA,NA
12052,NA,NA,NA,NA
12053,NA,NA,NA,NA
12054,NA,NA,NA,NA
12055,NA,NA,NA,NA
12056,NA,NA,NA,NA
12057,NA,NA,NA,NA
12058,NA,NA,NA,NA
12059,NA,NA,NA,NA
12060,NA,NA,NA,NA
12061,NA,NA,NA,NA
12062,NA,NA,NA,NA
12063,NA,NA,NA,NA
12064,NA,NA,NA,NA
12065,NA,NA,NA,NA
12066,NA,NA,NA,NA
12067,NA,NA,NA,NA
12068,NA,NA,NA,NA
12069,NA,NA,NA,NA
12070,NA,NA,NA,NA
12071,NA,NA,NA,NA
12072,NA,NA,NA,NA
12073,NA,NA,NA,NA
12074,NA,NA,NA,NA
12075,NA,NA,NA,NA
12076,NA,NA,NA,NA
12077,NA,NA,NA,NA
12078,NA,NA,NA,NA
12079,NA,NA,NA,NA
12080,NA,NA,NA,NA
12081,1,1,0,0
12082,NA,NA,NA,NA
12083,NA,NA,NA,NA
12084,NA,NA,NA,NA
12085,NA,NA,NA,NA
13001,NA,NA,NA,NA
13002,NA,NA,NA,NA
13003,NA,NA,NA,NA
13004,NA,NA,NA,NA
13005,NA,NA,NA,NA
13006,NA,NA,NA,NA
13007,NA,NA,NA,NA
13008,NA,NA,NA,NA
13009,NA,NA,NA,NA
13010,NA,NA,NA,NA
13011,NA,NA,NA,NA
13012,NA,NA,NA,NA
13013,NA,NA,NA,NA
13014,NA,NA,NA,NA
13015,NA,NA,NA,NA
13016,NA,NA,NA,NA
13017,NA,NA,NA,NA
13018,NA,NA,NA,NA
13019,NA,NA,NA,NA
13020,NA,NA,NA,NA
13021,NA,NA,NA,NA
13022,NA,NA,NA,NA
13023,NA,NA,NA,NA
13024,NA,NA,NA,NA
13025,NA,NA,NA,NA
13026,NA,NA,NA,NA
13027,NA,NA,NA,NA
13028,NA,NA,NA,NA
13029,NA,NA,NA,NA
13030,NA,NA,NA,NA
13031,NA,NA,NA,NA
13032,NA,NA,NA,NA
13033,NA,NA,NA,NA
13034,NA,NA,NA,NA
13035,NA,NA,NA,NA
13036,NA,NA,NA,NA
13037,NA,NA,NA,NA
13038,NA,NA,NA,NA
13039,2,2,0,0
13040,NA,NA,NA,NA
13041,NSS,NSS,NSS,NSS
13042,NA,NA,NA,NA
13043,NA,NA,NA,NA
13044,NA,NA,NA,NA
13045,NA,NA,NA,NA
13046,NA,NA,NA,NA
13047,NA,NA,NA,NA
13048,NA,NA,NA,NA
13049,NA,NA,NA,NA
13050,NA,NA,NA,NA
13051,NA,NA,NA,NA
13052,1,1,0,0
13053,NA,NA,NA,NA
13054,NA,NA,NA,NA
13055,NA,NA,NA,NA
13056,4,4,0,0
13057,NA,NA,NA,NA
13058,NA,NA,NA,NA
13059,NA,NA,NA,NA
13060,NA,NA,NA,NA
13061,NA,NA,NA,NA
13062,NA,NA,NA,NA
13063,NA,NA,NA,NA
13064,NA,NA,NA,NA
13065,NA,NA,NA,NA
13066,NA,NA,NA,NA
13067,NA,NA,NA,NA
13068,NA,NA,NA,NA
13069,1,1,0,0
13070,NA,NA,NA,NA
13071,NA,NA,NA,NA
13072,NA,NA,NA,NA
13073,NA,NA,NA,NA
13074,3,3,0,0
13075,NA,NA,NA,NA
13076,NA,NA,NA,NA
13077,NA,NA,NA,NA
13078,NA,NA,NA,NA
13079,NA,NA,NA,NA
13080,NA,NA,NA,NA
13081,NA,NA,NA,NA
13082,NA,NA,NA,NA
13083,NA,NA,NA,NA
13084,NA,NA,NA,NA
14001,NA,NA,NA,NA
14002,NA,NA,NA,NA
14003,NA,NA,NA,NA
14004,NA,NA,NA,NA
14005,NA,NA,NA,NA
14006,NA,NA,NA,NA
14007,NA,NA,NA,NA
14008,NA,NA,NA,NA
14009,NA,NA,NA,NA
14010,NA,NA,NA,NA
14011,NA,NA,NA,NA
14012,NA,NA,NA,NA
14013,NA,NA,NA,NA
14014,NA,NA,NA,NA
14015,NA,NA,NA,NA
14016,NA,NA,NA,NA
14017,NA,NA,NA,NA
14018,NA,NA,NA,NA
14019,NA,NA,NA,NA
14020,NA,NA,NA,NA
14021,NA,NA,NA,NA
14022,NA,NA,NA,NA
14023,NA,NA,NA,NA
14024,NA,NA,NA,NA
14025,NA,NA,NA,NA
14026,NA,NA,NA,NA
14027,NA,NA,NA,NA
14028,NA,NA,NA,NA
14029,NA,NA,NA,NA
14030,1,1,0,0
14031,NA,NA,NA,NA
14032,NA,NA,NA,NA
14033,NA,NA,NA,NA
14034,NA,NA,NA,NA
14035,1,0,0,1
14036,NA,NA,NA,NA
14037,NA,NA,NA,NA
14038,NA,NA,NA,NA
14039,NA,NA,NA,NA
14040,NA,NA,NA,NA
14041,NA,NA,NA,NA
14042,NA,NA,NA,NA
14043,NSS,NSS,NSS,NSS
14044,NA,NA,NA,NA
14045,NA,NA,NA,NA
14046,NA,NA,NA,NA
14047,NA,NA,NA,NA
14048,NA,NA,NA,NA
14049,NA,NA,NA,NA
14050,NA,NA,NA,NA
14051,NA,NA,NA,NA
14052,NA,NA,NA,NA
14053,3,3,0,0
14054,NA,NA,NA,NA
14055,NA,NA,NA,NA
14056,NA,NA,NA,NA
14057,NA,NA,NA,NA
14058,NA,NA,NA,NA
14059,NA,NA,NA,NA
14060,NA,NA,NA,NA
14061,NA,NA,NA,NA
14062,NA,NA,NA,NA
14063,NA,NA,NA,NA
14064,1,1,0,0
14065,NA,NA,NA,NA
14066,NA,NA,NA,NA
14067,2,2,0,0
14068,NA,NA,NA,NA
14069,1,1,0,0
14070,2,2,0,0
14071,NA,NA,NA,NA
14072,NA,NA,NA,NA
14073,NA,NA,NA,NA
14074,NA,NA,NA,NA
14075,NA,NA,NA,NA
14076,NA,NA,NA,NA
14077,NA,NA,NA,NA
14078,NA,NA,NA,NA
14079,1,1,0,0
14080,NA,NA,NA,NA
14081,ND,ND,ND,ND
14082,NA,NA,NA,NA
14083,NA,NA,NA,NA
14084,NA,NA,NA,NA
14085,NA,NA,NA,NA
14086,NA,NA,NA,NA
14087,NA,NA,NA,NA
14088,NA,NA,NA,NA
14089,NA,NA,NA,NA
14090,NA,NA,NA,NA
14091,8,8,0,0
14092,NA,NA,NA,NA
14093,NA,NA,NA,NA
14094,NA,NA,NA,NA
14095,NA,NA,NA,NA
14096,1,1,0,0
14097,NSS,NSS,NSS,NSS
14098,NA,NA,NA,NA
14099,NA,NA,NA,NA
14100,NA,NA,NA,NA
14101,NA,NA,NA,NA
14102,NA,NA,NA,NA
14103,NA,NA,NA,NA
14104,ND,ND,ND,ND
14105,NA,NA,NA,NA
14106,NA,NA,NA,NA
14107,NA,NA,NA,NA
14108,NA,NA,NA,NA
14109,NA,NA,NA,NA
14110,NA,NA,NA,NA
14111,NA,NA,NA,NA
14112,NA,NA,NA,NA
14113,NA,NA,NA,NA
14114,NA,NA,NA,NA
14115,NA,NA,NA,NA
14116,8,0,8,0
14117,NA,NA,NA,NA
14118,NA,NA,NA,NA
14119,NA,NA,NA,NA
14120,2,2,0,0
14121,NA,NA,NA,NA
14122,NA,NA,NA,NA
14123,NA,NA,NA,NA
14124,NA,NA,NA,NA
14125,NA,NA,NA,NA
15001,NA,NA,NA,NA
15002,NA,NA,NA,NA
15003,1,1,0,0
15004,NA,NA,NA,NA
15005,NA,NA,NA,NA
15006,NA,NA,NA,NA
15007,NA,NA,NA,NA
15008,NA,NA,NA,NA
15009,NA,NA,NA,NA
15010,NA,NA,NA,NA
15011,NA,NA,NA,NA
15012,NA,NA,NA,NA
15013,NA,NA,NA,NA
15014,1,1,0,0
15015,NA,NA,NA,NA
15016,35,10,25,0
15017,NA,NA,NA,NA
15018,NA,NA,NA,NA
15019,NA,NA,NA,NA
15020,2,1,1,0
15021,NA,NA,NA,NA
15022,NA,NA,NA,NA
15023,NA,NA,NA,NA
15024,NA,NA,NA,NA
15025,NA,NA,NA,NA
15026,NA,NA,NA,NA
15027,NA,NA,NA,NA
15028,NA,NA,NA,NA
15029,NA,NA,NA,NA
15030,NA,NA,NA,NA
15031,NA,NA,NA,NA
15032,NA,NA,NA,NA
15033,NA,NA,NA,NA
15034,NA,NA,NA,NA
15035,NA,NA,NA,NA
15036,NA,NA,NA,NA
15037,1,1,0,0
15038,3,1,2,0
15039,NA,NA,NA,NA
15040,NA,NA,NA,NA
15041,NA,NA,NA,NA
15042,NA,NA,NA,NA
15043,NA,NA,NA,NA
15044,NSS,NSS,NSS,NSS
15045,NA,NA,NA,NA
15046,1,0,1,0
15047,NA,NA,NA,NA
15048,NA,NA,NA,NA
15049,1,1,0,0
15050,NA,NA,NA,NA
15051,NA,NA,NA,NA
15052,NA,NA,NA,NA
15053,NA,NA,NA,NA
15054,NA,NA,NA,NA
15055,NA,NA,NA,NA
15056,NA,NA,NA,NA
15057,NA,NA,NA,NA
15058,3,3,0,0
15059,NA,NA,NA,NA
15060,NA,NA,NA,NA
15061,NA,NA,NA,NA
15062,NA,NA,NA,NA
15063,NA,NA,NA,NA
15064,NA,NA,NA,NA
15065,NA,NA,NA,NA
15066,NA,NA,NA,NA
15067,NA,NA,NA,NA
15068,NA,NA,NA,NA
15069,NA,NA,NA,NA
15070,5,5,0,0
15071,NA,NA,NA,NA
15072,NA,NA,NA,NA
15073,NA,NA,NA,NA
15074,1,0,1,0
15075,NA,NA,NA,NA
15076,NA,NA,NA,NA
15077,NA,NA,NA,NA
15078,NA,NA,NA,NA
15079,NA,NA,NA,NA
15080,NA,NA,NA,NA
15081,NA,NA,NA,NA
15082,NA,NA,NA,NA
15083,NA,NA,NA,NA
15084,2,2,0,0
15085,NA,NA,NA,NA
15086,NA,NA,NA,NA
15087,NA,NA,NA,NA
15088,NA,NA,NA,NA
15089,1,1,0,0
15090,NA,NA,NA,NA
15091,NA,NA,NA,NA
15092,NA,NA,NA,NA
15093,NA,NA,NA,NA
15094,NA,NA,NA,NA
15095,NA,NA,NA,NA
15096,NA,NA,NA,NA
15097,NA,NA,NA,NA
15098,NA,NA,NA,NA
15099,3,0,3,0
15100,NA,NA,NA,NA
15101,NA,NA,NA,NA
15102,NA,NA,NA,NA
15103,NA,NA,NA,NA
15104,NA,NA,NA,NA
15105,NSS,NSS,NSS,NSS
15106,1,0,1,0
15107,NA,NA,NA,NA
15108,NA,NA,NA,NA
15109,NA,NA,NA,NA
15110,NA,NA,NA,NA
15111,NA,NA,NA,NA
15112,NA,NA,NA,NA
15113,NA,NA,NA,NA
15114,NA,NA,NA,NA
15115,NA,NA,NA,NA
15116,2,0,2,0
15117,NA,NA,NA,NA
15118,NA,NA,NA,NA
15119,NA,NA,NA,NA
15120,NSS,NSS,NSS,NSS
15121,NA,NA,NA,NA
15122,NA,NA,NA,NA
15123,NA,NA,NA,NA
15124,NA,NA,NA,NA
15125,NA,NA,NA,NA
16001,NA,NA,NA,NA
16002,NA,NA,NA,NA
16003,NA,NA,NA,NA
16004,NA,NA,NA,NA
16005,NA,NA,NA,NA
16006,NA,NA,NA,NA
16007,NA,NA,NA,NA
16008,NA,NA,NA,NA
16009,1,1,0,0
16010,NA,NA,NA,NA
16011,NA,NA,NA,NA
16012,NA,NA,NA,NA
16013,NA,NA,NA,NA
16014,NA,NA,NA,NA
16015,NA,NA,NA,NA
16016,NA,NA,NA,NA
16017,NA,NA,NA,NA
16018,NSS,NSS,NSS,NSS
16019,NA,NA,NA,NA
16020,1,1,0,0
16021,NA,NA,NA,NA
16022,NA,NA,NA,NA
16023,NA,NA,NA,NA
16024,NA,NA,NA,NA
16025,1,1,0,0
16026,NA,NA,NA,NA
16027,NA,NA,NA,NA
16028,NA,NA,NA,NA
16029,NA,NA,NA,NA
16030,NA,NA,NA,NA
16031,NA,NA,NA,NA
16032,NA,NA,NA,NA
16033,NA,NA,NA,NA
16034,NA,NA,NA,NA
16035,NA,NA,NA,NA
16036,1,1,0,0
16037,NA,NA,NA,NA
16038,NA,NA,NA,NA
16039,NA,NA,NA,NA
16040,NA,NA,NA,NA
16041,NA,NA,NA,NA
16042,NA,NA,NA,NA
